"IMAGE_ID","MODEL_ID","IMAGE_URL","VIEW_TYPE"
30066,40014,/images/carimage/ford/bronco.png,exterior
30067,40015,/images/carimage/zeep/rangler_con.jpg,con
30068,40015,/images/carimage/zeep/rangler.png,exterior
30069,40016,/images/carimage/toyota/prius_con.jpg,con
30070,40016,/images/carimage/toyota/prius.png,exterior
30071,40017,/images/carimage/toyota/crown_con.jpg,con
30072,40017,/images/carimage/toyota/crown.png,exterior
30073,40018,/images/carimage/toyota/rav4_con.jpg,con
30074,40018,/images/carimage/toyota/rav4.png,exterior
30075,40019,/images/carimage/toyota/alphard_con.jpg,con
30076,40019,/images/carimage/toyota/alphard.png,exterior
30077,40020,/images/carimage/toyota/sienna_con.jpg,con
30078,40020,/images/carimage/toyota/sienna.png,exterior
30079,60001,/images/carimage/benz/glaclass_con.jpg,con
30080,60001,/images/carimage/benz/GLACLASS.png,exterior
30081,60002,/images/carimage/benz/aclass_con.jpg,con
30082,60002,/images/carimage/benz/aclass.png,exterior
30083,60003,/images/carimage/benz/glbclass_con.jpg,con
30084,60003,/images/carimage/benz/GLBCLASS.png,exterior
30085,60004,/images/carimage/benz/maybach_con.jpg,con
30086,60004,/images/carimage/benz/MAYBACH.png,exterior
30087,60005,/images/carimage/benz/cclass_con.jpg,con
30088,60005,/images/carimage/benz/cclass.png,exterior
30089,60006,/images/carimage/tesla/model3_con.jpg,con
30090,60006,/images/carimage/tesla/MODEL3.png,exterior
30091,60008,/images/carimage/tesla/modely_con.jpg,con
30092,60008,/images/carimage/tesla/MODELY.png,exterior
30093,60009,/images/carimage/tesla/cybertruck_con.jpg,con
30094,60009,/images/carimage/tesla/CYBERTRUCK.png,exterior
30095,60010,/images/carimage/bentley/bentayga_con.jpg,con
30096,60010,/images/carimage/bentley/BENTAYGA.png,exterior
30097,60011,/images/carimage/bentley/THENEWFLYINFSPUR.png,exterior
30098,60012,/images/carimage/tesla/modelx_con.jpg,con
30099,60012,/images/carimage/tesla/MODELX.png,exterior
30100,60013,/images/carimage/lamborghini/urus_con.jpg,con
30101,60013,/images/carimage/lamborghini/URUS.png,exterior
30102,60014,/images/carimage/rollsroyce/ghost_con.jpg,con
30103,60014,/images/carimage/rollsroyce/ghost.png,exterior
30104,60015,/images/carimage/maserati/grecale.png,exterior
30105,60016,/images/carimage/volvo/s90_con.jpg,con
30106,60016,/images/carimage/volvo/s90.png,exterior
30107,60017,/images/carimage/volvo/ex40_con.jpg,con
30108,60017,/images/carimage/volvo/ex40.png,exterior
30109,60018,/images/carimage/volvo/xc90_con.jpg,con
30110,60018,/images/carimage/volvo/xc90.png,exterior
30111,80001,/images/carimage/hyundai/santafe_con.jpg,con
30112,80001,/images/carimage/hyundai/santafe.png,exterior
30115,80005,/images/carimage/audi/a8_con.jpg,con
30116,80005,/images/carimage/audi/a8.png,exterior
30117,1,/images/carimage/hyundai/avante_con.jpg,con
30118,1,/images/carimage/hyundai/avante.png,exterior
30119,2,/images/carimage/hyundai/sonata_con.jpg,con
30120,2,/images/carimage/hyundai/sonata.png,exterior
30121,4,/images/carimage/hyundai/kona_con.jpg,con
30157,60015,/images/carimage/maserati/gre.jpg,con
30158,60011,/images/carimage/bentley/thenewflyingspur_con.jpg,con
30160,80007,/uploads/car-images/80007/con/20260212151247_15d93c04-79df-4ec2-b823-a334fde4202c.png,con
