"OPTION_PACKAGE_ITEM_ID","PACKAGE_OPTION_ITEM_ID","CHILD_OPTION_ITEM_ID","IS_INCLUDED","SORT_ORDER"
20001,21244,21245,Y,1
20002,21244,21246,Y,2
20003,21244,21247,Y,3
20004,21244,21248,Y,4
20005,21412,21436,Y,1
20006,21412,21438,Y,2
20007,21413,21436,Y,1
20008,21413,21438,Y,2
20009,21413,21440,Y,3
20010,21413,21439,Y,4
20011,21413,21411,Y,5
