"BANNER_ID","TITLE","SUB_TITLE","IMAGE_URL","LINK_URL","IS_VISIBLE","SORT_ORDER","CREATED_AT"
9020,HYUNDAI,SANTA FE,/uploads/landing/20260130165631_2a51f187-9097-4e0f-bbc3-7f2912fc550d.jpg,/uploads/landing-pages/17e5f702-46f9-449b-b13b-09c4ee3a9e88/bests.html,Y,1,2026-02-05 15:14:51.000
9021,GENESIS,GV60 Magma,/uploads/landing/20260202102700_718eff61-49cf-457e-a1d5-5b16f15299f9.jpeg,,Y,0,2026-02-05 15:14:51.000
9022,FERRARI,"849 Testarossa Spider",/uploads/landing/20260130165930_4e3b224f-f14a-49e3-8b83-fda97f61b7e7.jpg,,Y,2,2026-02-05 15:14:51.000
9040,TESLA,Cybertruck,/uploads/landing/20260130170039_a6cf8f62-6a6e-48c7-9b91-b5990d80a4ed.jpg,,Y,3,2026-02-05 15:14:51.000
